model,group,n,RMSE,MAE,R2
Persistence,All,3939,0.3281872183793612,0.14003804990102078,-0.43939677316502523
Persistence,Wet,3228,0.3583436688701328,0.16683161924181214,-0.4633402584247288
Persistence,Extreme,238,0.9047867692773214,0.7549110379152537,-3.6206632039070286
Climatology,All,3939,0.27369377810341705,0.15169184466074806,-0.0010759966830722334
Climatology,Wet,3228,0.2982095513436585,0.16173793253139654,-0.013418779189497743
Climatology,Extreme,238,1.0063040554214233,0.9140452257838302,-4.715711209361553
XGBoost,All,3939,0.24374980637007074,0.11883085204194109,0.20599043431909458
XGBoost,Wet,3228,0.26742696610873273,0.13843798167365426,0.18500260127914936
XGBoost,Extreme,238,0.8416556320533002,0.7280739213319328,-2.9983492300926686
BU-LSTM,All,3939,0.24872988312531186,0.11698055283919094,0.17321401277882498
BU-LSTM,Wet,3228,0.2735757673905187,0.13553479202571478,0.14709417593592222
BU-LSTM,Extreme,238,0.9145872417111072,0.8124042881218486,-3.721305835989728
BiLSTM-Attention,All,3939,0.24284800569087328,0.11557538988090554,0.21185475735916093
BiLSTM-Attention,Wet,3228,0.267166339968136,0.13365030737335132,0.18659037027456482
BiLSTM-Attention,Extreme,238,0.8784325133863816,0.7711411331361344,-3.355406152773483
Transformer,All,3939,0.25905105543423923,0.12085123208306656,0.10317458353860276
Transformer,Wet,3228,0.2851394608284766,0.13838273419496158,0.0734678878138294
Transformer,Extreme,238,0.9609654478248209,0.8627906263865548,-4.212275967104411
BU-LSTM-Attention (proposed),All,3939,0.24644143334976537,0.11741816779087723,0.18835778402631853
BU-LSTM-Attention (proposed),Wet,3228,0.27103844358821444,0.13686538313642072,0.1628416423515756
BU-LSTM-Attention (proposed),Extreme,238,0.8857776875922388,0.7752443460714286,-3.428547724031519
