Model,Regime,N,Fraction_of_Test,RMSE,MAE,R2
Persistence,All,3939,1.0,0.3281872183793612,0.14003804990102078,-0.43939677316502523
Persistence,Wet,3228,0.8194973343488196,0.3583436688701328,0.16683161924181214,-0.4633402584247288
Persistence,Heavy_Q95,238,0.06042142675806042,0.9047867692773214,0.7549110379152537,-3.6206632039070286
Persistence,Extreme_Q99,35,0.008885503935008886,1.620842066167769,1.497073035992137,-19.53262183013281
Climatology,All,3939,1.0,0.27369377810341705,0.15169184466074806,-0.0010759966830722334
Climatology,Wet,3228,0.8194973343488196,0.2982095513436585,0.16173793253139654,-0.013418779189497743
Climatology,Heavy_Q95,238,0.06042142675806042,1.0063040554214233,0.9140452257838302,-4.715711209361553
Climatology,Extreme_Q99,35,0.008885503935008886,1.7646149133217537,1.7279805451494097,-23.336767878266343
XGBoost,All,3939,1.0,0.24374980637007074,0.11883085204194109,0.20599043431909458
XGBoost,Wet,3228,0.8194973343488196,0.26742696610873273,0.13843798167365426,0.18500260127914936
XGBoost,Heavy_Q95,238,0.06042142675806042,0.8416556320533002,0.7280739213319328,-2.9983492300926686
XGBoost,Extreme_Q99,35,0.008885503935008886,1.5227716367850421,1.4688277005714285,-17.123103844955043
BiLSTM-Attention,All,3939,1.0,0.24284800569087328,0.11557538988090554,0.21185475735916093
BiLSTM-Attention,Wet,3228,0.8194973343488196,0.267166339968136,0.13365030737335132,0.18659037027456482
BiLSTM-Attention,Heavy_Q95,238,0.06042142675806042,0.8784325133863816,0.7711411331361344,-3.355406152773483
BiLSTM-Attention,Extreme_Q99,35,0.008885503935008886,1.5839871313859153,1.5352361116285715,-18.609490906901865
BU-LSTM,All,3939,1.0,0.24872988312531186,0.11698055283919094,0.17321401277882498
BU-LSTM,Wet,3228,0.8194973343488196,0.2735757673905187,0.13553479202571478,0.14709417593592222
BU-LSTM,Heavy_Q95,238,0.06042142675806042,0.9145872417111072,0.8124042881218486,-3.721305835989728
BU-LSTM,Extreme_Q99,35,0.008885503935008886,1.6386798351797456,1.5934167574857145,-19.98704240073451
BU-LSTM-Attention (proposed),All,3939,1.0,0.24644479048945622,0.11744014368508729,0.18833567074106283
BU-LSTM-Attention (proposed),Wet,3228,0.8194973343488196,0.27104144512113376,0.13687350116051117,0.16282310053699534
BU-LSTM-Attention (proposed),Heavy_Q95,238,0.06042142675806042,0.8858934718283085,0.7754018396428572,-3.429705552987256
BU-LSTM-Attention (proposed),Extreme_Q99,35,0.008885503935008886,1.614370830429765,1.566040047142857,-19.36899607803776
Probabilistic BiLSTM-Attention,All,3939,1.0,0.24812892533712652,0.11615215383577746,0.177204391695157
Probabilistic BiLSTM-Attention,Wet,3228,0.8194973343488196,0.27290211041389717,0.13574028537372676,0.15128941994045786
Probabilistic BiLSTM-Attention,Heavy_Q95,238,0.06042142675806042,0.8979817744196208,0.790230402331933,-3.551419867683361
Probabilistic BiLSTM-Attention,Extreme_Q99,35,0.008885503935008886,1.6227165644736683,1.5792860454285713,-19.580141654029514
