Model,Regime,N,CRPS,Coverage95,MPIW95,MeanPredStd
BU-LSTM,All,3939,0.09408353859060219,0.9515105356689515,0.7506041795917228,0.19148417662579334
BU-LSTM,Wet,3228,0.10895505472273113,0.9408302354399009,0.8371063665450761,0.21355146654429988
BU-LSTM,Heavy_Q95,238,0.6384403312724335,0.4369747899159664,1.4164107810012565,0.36133592049999996
BU-LSTM,Extreme_Q99,35,1.3647505221989003,0.02857142857142857,1.595718534398666,0.40707853485714285
BU-LSTM-Attention (proposed),All,3939,0.09352125931984301,0.955064737242955,0.7472737932497978,0.19063457266158923
BU-LSTM-Attention (proposed),Wet,3228,0.10816724582295943,0.9451672862453532,0.8285676396270875,0.21137317985501858
BU-LSTM-Attention (proposed),Heavy_Q95,238,0.6091042089005545,0.5,1.4459066518753951,0.36886051562184874
BU-LSTM-Attention (proposed),Extreme_Q99,35,1.34308311335233,0.02857142857142857,1.5571903714637105,0.3972497412571429
Probabilistic BiLSTM-Attention,All,3939,0.09109062187701293,0.945925361766946,0.682658211168297,0.1741507029090886
Probabilistic BiLSTM-Attention,Wet,3228,0.10650096672503227,0.9340148698884758,0.7733053005198073,0.19727538531818464
Probabilistic BiLSTM-Attention,Heavy_Q95,238,0.6220772016379834,0.4957983193277311,1.4602892531798055,0.3725296139873949
Probabilistic BiLSTM-Attention,Extreme_Q99,35,1.339508532497788,0.05714285714285714,1.6787052115509782,0.4282489945714286
