Model,Threshold,Threshold_mm,N,Fraction_of_Test,RMSE,MAE
Persistence,Q90,0.2957839960000001,463,0.11754252348311754,0.706486997371253,0.5480009274721935
Persistence,Q95,0.5740480409999992,238,0.06042142675806042,0.9047867869442251,0.7549110603940505
Persistence,Q97.5,0.9321694997499979,106,0.02691038334602691,1.189686969467432,1.0518248687374263
Climatology,Q90,0.2957839960000001,463,0.11754252348311754,0.7556530272732833,0.6212782096889126
Climatology,Q95,0.5740480409999992,238,0.06042142675806042,1.006304081795563,0.9140452603204351
Climatology,Q97.5,0.9321694997499979,106,0.02691038334602691,1.3262194420460922,1.2627757671374642
XGBoost,Q90,0.2957839960000001,463,0.11754252348311754,0.626465849795736,0.47680871702159827
XGBoost,Q95,0.5740480409999992,238,0.06042142675806042,0.8416556320533002,0.7280739213319328
XGBoost,Q97.5,0.9321694997499979,106,0.02691038334602691,1.1230773221949957,1.0408798555754717
BiLSTM-Attention,Q90,0.2957839960000001,463,0.11754252348311754,0.6526749027612686,0.49911995400699777
BiLSTM-Attention,Q95,0.5740480409999992,238,0.06042142675806042,0.8784325133863816,0.7711411331361344
BiLSTM-Attention,Q97.5,0.9321694997499979,106,0.02691038334602691,1.169561309251442,1.0944228787584904
BU-LSTM,Q90,0.2957839960000001,463,0.11754252348311754,0.6809214360195229,0.532855882036717
BU-LSTM,Q95,0.5740480409999992,238,0.06042142675806042,0.9145872417111072,0.8124042881218486
BU-LSTM,Q97.5,0.9321694997499979,106,0.02691038334602691,1.2187524849940836,1.1496406716886791
BU-LSTM-Attention,Q90,0.2957839960000001,463,0.11754252348311754,0.6577896228623985,0.5024367749524838
BU-LSTM-Attention,Q95,0.5740480409999992,238,0.06042142675806042,0.8858934718283085,0.7754018396428572
BU-LSTM-Attention,Q97.5,0.9321694997499979,106,0.02691038334602691,1.1857599292827266,1.1094454306132076
Probabilistic BiLSTM-Attention,Q90,0.2957839960000001,463,0.11754252348311754,0.6677080146700453,0.5144007810760258
Probabilistic BiLSTM-Attention,Q95,0.5740480409999992,238,0.06042142675806042,0.8979817744196208,0.790230402331933
Probabilistic BiLSTM-Attention,Q97.5,0.9321694997499979,106,0.02691038334602691,1.1992954189321505,1.1274775896415097
