Model,Threshold_mm,N,Observed_Event_N,Observed_Event_Fraction,TN,FP,FN,TP,Accuracy,Precision,POD,F1,CSI,FAR
Persistence,0.0,3939,3228,0.8194973343488196,406,305,306,2922,0.8448844884488449,0.9054849705608925,0.9052044609665427,0.9053446940356313,0.8270591565242004,0.09451502943910753
Persistence,0.1,3939,854,0.2168062960142168,2659,426,426,428,0.7837014470677837,0.5011709601873536,0.5011709601873536,0.5011709601873536,0.334375,0.49882903981264637
Persistence,0.5,3939,288,0.07311500380807312,3445,206,206,82,0.8954049251078954,0.2847222222222222,0.2847222222222222,0.2847222222222222,0.1659919028340081,0.7152777777777778
Persistence,1.0,3939,91,0.0231023102310231,3767,81,81,10,0.9588728103579589,0.10989010989010989,0.10989010989010989,0.10989010989010989,0.05813953488372093,0.8901098901098901
Climatology,0.0,3939,3228,0.8194973343488196,0,711,0,3228,0.8194973343488196,0.8194973343488196,1.0,0.9007953118459606,0.8194973343488196,0.1805026656511805
Climatology,0.1,3939,854,0.2168062960142168,0,3085,0,854,0.2168062960142168,0.2168062960142168,1.0,0.35635301481326936,0.2168062960142168,0.7831937039857831
Climatology,0.5,3939,288,0.07311500380807312,3651,0,288,0,0.9268849961919269,0.0,0.0,0.0,0.0,
Climatology,1.0,3939,91,0.0231023102310231,3848,0,91,0,0.976897689768977,0.0,0.0,0.0,0.0,
XGBoost,0.0,3939,3228,0.8194973343488196,9,702,10,3218,0.8192434628078192,0.8209183673469388,0.9969021065675341,0.9003917179630666,0.8188295165394402,0.17908163265306123
XGBoost,0.1,3939,854,0.2168062960142168,2351,734,201,653,0.7626301091647626,0.4708002883922134,0.7646370023419203,0.5827755466309683,0.41120906801007556,0.5291997116077866
XGBoost,0.5,3939,288,0.07311500380807312,3584,67,248,40,0.92003046458492,0.37383177570093457,0.1388888888888889,0.20253164556962025,0.11267605633802817,0.6261682242990654
XGBoost,1.0,3939,91,0.0231023102310231,3848,0,90,1,0.9771515613099772,1.0,0.01098901098901099,0.021739130434782608,0.01098901098901099,0.0
BiLSTM-Attention,0.0,3939,3228,0.8194973343488196,38,673,106,3122,0.8022340695608022,0.82266139657444,0.9671623296158612,0.8890787412786558,0.8003076134324533,0.17733860342555996
BiLSTM-Attention,0.1,3939,854,0.2168062960142168,2480,605,245,609,0.7842091901497842,0.5016474464579901,0.7131147540983607,0.5889748549323017,0.4174091843728581,0.49835255354200986
BiLSTM-Attention,0.5,3939,288,0.07311500380807312,3650,1,282,6,0.9281543538969281,0.8571428571428571,0.020833333333333332,0.04067796610169491,0.020761245674740483,0.14285714285714285
BiLSTM-Attention,1.0,3939,91,0.0231023102310231,3848,0,91,0,0.976897689768977,0.0,0.0,0.0,0.0,
BU-LSTM,0.0,3939,3228,0.8194973343488196,20,691,12,3216,0.8215283066768215,0.8231379575121577,0.9962825278810409,0.9014716187806587,0.8206175044654248,0.17686204248784235
BU-LSTM,0.1,3939,854,0.2168062960142168,2410,675,258,596,0.7631378522467631,0.4689221085759245,0.6978922716627635,0.5609411764705883,0.3897972531066056,0.5310778914240756
BU-LSTM,0.5,3939,288,0.07311500380807312,3651,0,288,0,0.9268849961919269,0.0,0.0,0.0,0.0,
BU-LSTM,1.0,3939,91,0.0231023102310231,3848,0,91,0,0.976897689768977,0.0,0.0,0.0,0.0,
BU-LSTM-Attention,0.0,3939,3228,0.8194973343488196,26,685,14,3214,0.8225437928408226,0.8243139266478584,0.9956629491945477,0.9019222674337029,0.8213646818297982,0.17568607335214156
BU-LSTM-Attention,0.1,3939,854,0.2168062960142168,2383,702,224,630,0.7649149530337649,0.47297297297297297,0.7377049180327869,0.576395242451967,0.40488431876606684,0.527027027027027
BU-LSTM-Attention,0.5,3939,288,0.07311500380807312,3651,0,288,0,0.9268849961919269,0.0,0.0,0.0,0.0,
BU-LSTM-Attention,1.0,3939,91,0.0231023102310231,3848,0,91,0,0.976897689768977,0.0,0.0,0.0,0.0,
Probabilistic BiLSTM-Attention,0.0,3939,3228,0.8194973343488196,134,577,62,3166,0.8377760853008378,0.8458455784130376,0.9807930607187113,0.908334528762014,0.8320630749014455,0.15415442158696233
Probabilistic BiLSTM-Attention,0.1,3939,854,0.2168062960142168,2423,662,241,613,0.7707539984767707,0.4807843137254902,0.7177985948477752,0.5758572099577266,0.40435356200527706,0.5192156862745098
Probabilistic BiLSTM-Attention,0.5,3939,288,0.07311500380807312,3651,0,288,0,0.9268849961919269,0.0,0.0,0.0,0.0,
Probabilistic BiLSTM-Attention,1.0,3939,91,0.0231023102310231,3848,0,91,0,0.976897689768977,0.0,0.0,0.0,0.0,
