model,seed,RMSE,MAE,R2,NLL,CRPS,Coverage95,epochs_trained,best_epoch,best_val_NLL,MPIW95,NegativeLowerBound95_Rate,MeanPredStd
XGBoost,42,0.2437498016234348,0.1188308522105217,0.2059903740882873,,,,,,,,,
XGBoost,123,0.2442993334849919,0.1198430731892585,0.2024062275886535,,,,,,,,,
XGBoost,7,0.2440299355399075,0.1190662011504173,0.2041642665863037,,,,,,,,,
XGBoost,2024,0.2437946462091108,0.119015909731388,0.2056981921195984,,,,,,,,,
XGBoost,99,0.2437274488385353,0.1185548827052116,0.2061360478401184,,,,,,,,,
BU-LSTM,42,0.2487302587693237,0.1169818192720413,0.1732114553451538,-0.489832729101181,0.09408263548947,0.9515105356689516,,,,,,
BU-LSTM,123,0.2472583145941171,0.1198125779628753,0.1829681396484375,-0.5002504587173462,0.0958225469988335,0.9593805534399594,,,,,,
BU-LSTM,7,0.2452415591521679,0.1209457516670227,0.1962419748306274,-0.48378387093544,0.094008771797778,0.9576034526529577,,,,,,
BU-LSTM,2024,0.2463815308280577,0.117932453751564,0.1887522339820861,-0.5124766826629639,0.0924189676679909,0.954049251078954,,,,,,
BU-LSTM,99,0.2472412965205027,0.1199286133050918,0.1830805540084839,-0.4505247175693512,0.094965366874112,0.9570957095709572,,,,,,
BiLSTM-Attention,42,0.2428479878869835,0.1155753880739212,0.2118548154830932,,,,,,,,,
BiLSTM-Attention,123,0.2426426517584443,0.1213352903723716,0.2131870985031128,,,,,,,,,
BiLSTM-Attention,7,0.2422861851859087,0.1186139807105064,0.2154971957206726,,,,,,,,,
BiLSTM-Attention,2024,0.2420473000589984,0.1183779165148735,0.217043399810791,,,,,,,,,
BiLSTM-Attention,99,0.2444943497698226,0.1172356456518173,0.2011322975158691,,,,,,,,,
BU-LSTM-Attention (proposed),42,0.2463946244055948,0.1175000667572021,0.1886660456657409,-0.4060359299182892,0.0935256671034091,0.9548108657019548,,,,,,
BU-LSTM-Attention (proposed),123,0.2474527000856686,0.1228319033980369,0.1816829442977905,-0.4831534922122955,0.0969460526757283,0.958111195734958,,,,,,
BU-LSTM-Attention (proposed),7,0.2442006609533224,0.1216092854738235,0.2030503749847412,-0.5680402517318726,0.0943206607170177,0.962934755013963,,,,,,
BU-LSTM-Attention (proposed),2024,0.2499683479299171,0.1176108196377754,0.1649600863456726,-0.5008004307746887,0.0944241631666068,0.9553186087839554,,,,,,
BU-LSTM-Attention (proposed),99,0.2466385955896221,0.1214307323098182,0.1870585083961486,-0.3796318173408508,0.0959658353284407,0.9593805534399594,,,,,,
BiLSTM-NoAttention (control),42,0.2457943184586092,0.1160446777939796,0.1926146149635315,,,,,,,,,
BiLSTM-NoAttention (control),123,0.2427161967896035,0.1206813976168632,0.2127100229263305,,,,,,,,,
BiLSTM-NoAttention (control),7,0.2446384618419513,0.119037352502346,0.2001903057098388,,,,,,,,,
BiLSTM-NoAttention (control),2024,0.2446005418365002,0.11845663189888,0.2004382014274597,,,,,,,,,
BiLSTM-NoAttention (control),99,0.2455310898506348,0.1173596158623695,0.1943430304527282,,,,,,,,,
Probabilistic BiLSTM-Attention,42,0.2467498661348159,0.1164389476180076,0.1863248348236084,-0.23903856,0.0910131402339588,0.943894389438944,30.0,29.0,-0.2241596579551696,0.6938909468030755,1.0,0.17701624
Probabilistic BiLSTM-Attention,123,0.2482856517351145,0.1264155209064483,0.1761646270751953,-0.5377126,0.0986601751267147,0.9636963696369636,20.0,10.0,-0.085435502231121,0.8755469643598924,1.0,0.22335793
Probabilistic BiLSTM-Attention,7,0.2480804315531748,0.1230490580201149,0.1775259375572204,-0.5184803,0.0960456982259271,0.9609037826859608,23.0,13.0,-0.1415740996599197,0.8296838297404503,1.0,0.21165793
Probabilistic BiLSTM-Attention,2024,0.2501524966766686,0.1221868470311164,0.1637292504310608,-0.4586226,0.0971215829819544,0.9568418380299568,14.0,4.0,-0.1003729477524757,0.8061082591015429,1.0,0.20564364
Probabilistic BiLSTM-Attention,99,0.2509444101125655,0.1201493218541145,0.1584261059761047,-0.42395172,0.0990613596458864,0.9588728103579588,13.0,3.0,-0.0585714317858219,0.8539260948679478,1.0,0.2178423
