model,seed,RMSE,MAE,R2,NLL,CRPS,Coverage_95
XGBoost,42,0.2437498016234348,0.1188308522105217,0.2059903740882873,,,
XGBoost,123,0.2442993334849919,0.1198430731892585,0.2024062275886535,,,
XGBoost,7,0.2440299355399075,0.1190662011504173,0.2041642665863037,,,
XGBoost,2024,0.2437946462091108,0.119015909731388,0.2056981921195984,,,
XGBoost,99,0.2437274488385353,0.1185548827052116,0.2061360478401184,,,
BU-LSTM,42,0.2487302587693237,0.1169818192720413,0.1732114553451538,-0.489832729101181,0.09408263548947,0.9515105356689516
BU-LSTM,123,0.2472583145941171,0.1198125779628753,0.1829681396484375,-0.5002504587173462,0.0958225469988335,0.9593805534399594
BU-LSTM,7,0.2452415591521679,0.1209457516670227,0.1962419748306274,-0.48378387093544,0.094008771797778,0.9576034526529577
BU-LSTM,2024,0.2463815308280577,0.117932453751564,0.1887522339820861,-0.5124766826629639,0.0924189676679909,0.954049251078954
BU-LSTM,99,0.2472412965205027,0.1199286133050918,0.1830805540084839,-0.4505247175693512,0.094965366874112,0.9570957095709572
BiLSTM-Attention,42,0.2428479878869835,0.1155753880739212,0.2118548154830932,,,
BiLSTM-Attention,123,0.2426426517584443,0.1213352903723716,0.2131870985031128,,,
BiLSTM-Attention,7,0.2422861851859087,0.1186139807105064,0.2154971957206726,,,
BiLSTM-Attention,2024,0.2420473000589984,0.1183779165148735,0.217043399810791,,,
BiLSTM-Attention,99,0.2444943497698226,0.1172356456518173,0.2011322975158691,,,
BU-LSTM-Attention (proposed),42,0.2463946244055948,0.1175000667572021,0.1886660456657409,-0.4060359299182892,0.0935256671034091,0.9548108657019548
BU-LSTM-Attention (proposed),123,0.2474527000856686,0.1228319033980369,0.1816829442977905,-0.4831534922122955,0.0969460526757283,0.958111195734958
BU-LSTM-Attention (proposed),7,0.2442006609533224,0.1216092854738235,0.2030503749847412,-0.5680402517318726,0.0943206607170177,0.962934755013963
BU-LSTM-Attention (proposed),2024,0.2499683479299171,0.1176108196377754,0.1649600863456726,-0.5008004307746887,0.0944241631666068,0.9553186087839554
BU-LSTM-Attention (proposed),99,0.2466385955896221,0.1214307323098182,0.1870585083961486,-0.3796318173408508,0.0959658353284407,0.9593805534399594
BiLSTM-NoAttention (control),42,0.24579431845860925,0.11604467779397964,0.1926146149635315,,,
BiLSTM-NoAttention (control),123,0.24271619678960354,0.12068139761686325,0.21271002292633057,,,
BiLSTM-NoAttention (control),7,0.2446384618419513,0.11903735250234604,0.20019030570983887,,,
BiLSTM-NoAttention (control),2024,0.24460054183650026,0.11845663189888,0.20043820142745972,,,
BiLSTM-NoAttention (control),99,0.24553108985063482,0.11735961586236954,0.19434303045272827,,,
