Experiment,Removed_Feature,seed,RMSE,MAE,R2,Delta_RMSE_vs_Full
Full,None,42,0.2463946244055948,0.1175000667572021,0.1886660456657409,0.0
Full,None,123,0.2474527000856686,0.1228319033980369,0.1816829442977905,0.0
Full,None,7,0.2442006609533224,0.1216092854738235,0.2030503749847412,0.0
Full,None,2024,0.2499683479299171,0.1176108196377754,0.1649600863456726,0.0
Full,None,99,0.2466385955896221,0.1214307323098182,0.1870585083961486,0.0
Without_tcc,tcc,42,0.2538512830657872,0.11926153302192688,0.13881605863571167,0.007456658660192406
Without_tcc,tcc,123,0.24821481501276835,0.12489604949951172,0.17663460969924927,0.0007621149270997385
Without_tcc,tcc,7,0.2552745483420967,0.12282722443342209,0.1291322112083435,0.011073887388774267
Without_tcc,tcc,2024,0.24935310831758198,0.1214464008808136,0.16906553506851196,-0.0006152396123351167
Without_tcc,tcc,99,0.24740284190372827,0.1194625049829483,0.182012677192688,0.0007642463141061817
Without_mxtpr,mxtpr,42,0.244491805225469,0.12064296752214432,0.20114892721176147,-0.0019028191801257754
Without_mxtpr,mxtpr,123,0.24723419966031804,0.1205606684088707,0.18312746286392212,-0.00021850042535057068
Without_mxtpr,mxtpr,7,0.24587985991943676,0.12196468561887741,0.19205254316329956,0.001679198966114348
Without_mxtpr,mxtpr,2024,0.24437648061757447,0.12345059961080551,0.2019023895263672,-0.005591867312342624
Without_mxtpr,mxtpr,99,0.24486331026567437,0.12094515562057495,0.19871938228607178,-0.0017752853239477173
