,u10,v10,d2m,t2m,sp,e,mxtpr,mntpr,tcc,ssr,lsp,tp_mm
u10,1.0,0.051692485227313595,-0.08597297019803574,-0.05082727164087442,-0.1806555115127262,-0.13069356670876833,-0.029068069858967597,-0.03989102817306343,-0.07668353740382572,-0.07581363509280839,-0.0029480347050032667,-0.006280550727023863
v10,0.051692485227313595,1.0,0.26564554242119887,0.19845837657577747,-0.26959646534468823,0.08563148868461354,0.1990783823903122,0.18572059061076748,0.3123235802428153,-0.05807444401175906,0.22341876940893224,0.18158327752378922
d2m,-0.08597297019803574,0.26564554242119887,1.0,0.9182215086231961,-0.02679910159089938,0.1256317102747932,0.24396447536006083,0.21755369867617008,0.2628415453121746,0.20802147491328035,0.23243623174802017,0.21894238244838235
t2m,-0.05082727164087442,0.19845837657577747,0.9182215086231961,1.0,0.025750056901909787,-0.15522591542987332,0.1600348081219457,0.09139911179602236,0.15646444928132214,0.4403845694948636,0.06270392206210139,0.1265733207718029
sp,-0.1806555115127262,-0.26959646534468823,-0.02679910159089938,0.025750056901909787,1.0,0.14401765380470807,-0.4108814700131427,-0.3935287942817162,-0.12295479374198683,0.053110954372813775,-0.38724675897363775,-0.4277310287615844
e,-0.13069356670876833,0.08563148868461354,0.1256317102747932,-0.15522591542987332,0.14401765380470807,1.0,-0.1360868056505417,-0.05319929855220247,0.12523054712428275,-0.65230361084025,0.04696917058933216,-0.13568939442435726
mxtpr,-0.029068069858967597,0.1990783823903122,0.24396447536006083,0.1600348081219457,-0.4108814700131427,-0.1360868056505417,1.0,0.9241718898755393,0.4800581140464913,0.08508772980221643,0.8806293093780219,0.9867725202454534
mntpr,-0.03989102817306343,0.18572059061076748,0.21755369867617008,0.09139911179602236,-0.3935287942817162,-0.05319929855220247,0.9241718898755393,1.0,0.48310905950198046,0.0014548020874091204,0.929083070880531,0.9425827605565782
tcc,-0.07668353740382572,0.3123235802428153,0.2628415453121746,0.15646444928132214,-0.12295479374198683,0.12523054712428275,0.4800581140464913,0.48310905950198046,1.0,-0.04053351476565467,0.5317592376319875,0.4754709305804732
ssr,-0.07581363509280839,-0.05807444401175906,0.20802147491328035,0.4403845694948636,0.053110954372813775,-0.65230361084025,0.08508772980221643,0.0014548020874091204,-0.04053351476565467,1.0,-0.0870555032146012,0.06066540646617764
lsp,-0.0029480347050032667,0.22341876940893224,0.23243623174802017,0.06270392206210139,-0.38724675897363775,0.04696917058933216,0.8806293093780219,0.929083070880531,0.5317592376319875,-0.0870555032146012,1.0,0.8988940234770184
tp_mm,-0.006280550727023863,0.18158327752378922,0.21894238244838235,0.1265733207718029,-0.4277310287615844,-0.13568939442435726,0.9867725202454534,0.9425827605565782,0.4754709305804732,0.06066540646617764,0.8988940234770184,1.0
